"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
A7179,SUBTALAR MBS IMPLANT 12MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7854,S2117
A7180,QUICKANCHORL PLUS IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1455,C1713
A7181,PLATE HOLE PROX HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6088,C1713
A7182,SCREW LOCKING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,496,C1713
A7183,SCREW CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,742,C1713
A7184,IMPLANT METETARSAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9768,L8641
A7185,IMPLANT PHALANGEAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8629,L8699
A7186,GRAFT VITOSS 1.2CC BNE FILR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2279,C9359
A7187,ROD HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5735,C1713
A7188,SCREW CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,558,C1713
A7189,POLARUS CAP SCREW ASSY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,544,C1713
A7190,SCREW CANCELLOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,558,C1713
A7191,RAPPEL LINE WHITE #2 93CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1871,
A7192,PLATE 4 HOLE VERSA-FX II,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1604,C1713
A7193,SCREW LAG STANDARD THREAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1057,C1713
A7194,SCREW CORTICAL 4.5MM SELF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,76,C1713
A7195,SCREW COMPRESSION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,238,C1713
A7196,STAPLE IMPLANT MEMORY 9X7-1.5MMX1.5MM/SM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2293,C1713
A7197,ANCHOR QUICK SUPER PLUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1416,C1713
A7198,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16534,C1776
A7199,FEMORAL COMPONET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,15746,C1776
A7200,STEM FEMORAL SZ 4/7/8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,17634,C1776
A7201,STEM SHOULDER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,20810,C1776
A7202,STEM TRI-LOCK SZ 4/6-10,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,13340,C1713
A7203,LEAD PACEMAKER CAPSUREFIX/ACTIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,1947,C1898
A7204,ICD SECURA    CAT#DR204DR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,63601,
A7205,ICD-VR SECURA    CAT#D224VRC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,53897,
A7206,LEAD PACEMAKER MARKET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2719,C1779
A7207,ICD-CRT PROTECTA XT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,76517,
A7208,PACEMAKER IPG ADAPTA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12061,C1785
A7209,HEAD FEMORAL COCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3277,C1776
A7210,BIPOLAR CUP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2851,C1776
A7211,STEM FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,19750,C1776
A7212,LINER BI-POLAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1757,C1776
A7213,PLATE STANDARD 5-HOLE/4-HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2201,C1713
A7214,SCREW LAG DHS 12.7MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1406,C1713
A7215,SCREW CORTEX 4.5MM SELF-TAPPING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,101,C1713
A7216,SCREW LAG 90MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1598,C1713
A7217,SCREW SET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,561,C1713
A7218,ALLODERM REGENERATIVE TISSU,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,17289,Q4116
A7219,LINER ACCETABULAR 36MM X 54MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5105,C1713
A7220,HEAD ECCENTRIC 20X42MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7095,C1713
A7221,STEM HUMERAL 12X195,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,15832,C1713
A7222,SCREW CORTEX 20MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,76,C1713
A7223,SCREW CORTICAL 3.5MM X 14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,102,C1713
A7225,INSERT TIBIAL SZ 7-8 11MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6521,C1713
A7226,PATELLA GENUU 38MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2150,C1713
A7227,PACEMAKER DR U PR DUAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,11550,C1785
A7228,SCREW QWIX FIXATION 4.3X45,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1676,C1713
A7236,SETROX S45 PACEMAKER LEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,1650,C1898
A7260,FILLER BONE HYDRISET 10CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9138,C9359
A7261,ENDO BUTTON CL ULTRA 10MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,779,C1713
A7262,BIOSURE SYNC TIBIAL FIXATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,742,C1713
A7263,PLATE FIBULA 7 HOLE LATERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2557,C1713
A7264,SCREW NON-LOCKING HEXALOBE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,257,C1713
A7265,"BUTTON,DOG BONE",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1650,
A7266,MM-ICD PROTECTA XT DR US MR DF4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,80685,C1721
A7267,STENT GRAFT SYS CONTRALATERAL LIMB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16417,C1768
A7268,SCREW FIXATION QWIX 3MM DIAM. X 16MM LG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1455,C1713
A7269,GRAFT JACKET REGENERATIVE TISSUE MATRIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5679,Q4116
A7270,HEALCOIL REGENESORB 5.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1122,C1713
A7271,GRAFT VITOSS 10CC BB TRAUMA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,19156,C9359
A7272,GRAFT MESHED BILAYER WOUND MATRIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10205,C9363
A7273,GRAFT FLOWABLE WOUND MATRIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,14213,Q4114
A7274,PLATE 9 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,667,C1713
A7275,GRAFT VITOSS TRAUMA 5CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10263,C9359
A7276,STIMULATOR NEURO RESTORE ADVANCED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,44550,C1820
A7277,HEALICOIL REGENERESORB 505MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1122,C1713
A7278,PLATE 5 HOLE HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3802,C1713
A7279,SCREW NON-LOCKING 3.5MM CORTEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,78,C1713
A7280,SCREW CORTEX LOCKING 3.5 MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,392,C1713
A7281,SCREW CORTEX LOCKING 3.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,434,C1713
A7282,MM-BICEPTOR 8X15MM IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1280,C1713
A7283,NAIL TROCH LONG 11MM X 38CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10356,C1713
A7284,SCREW CANNULATED 7.0MM X 16/32,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,535,C1713
A7285,ICD DUAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,61311,C1721
A7286,TIBIAL MODULAR BASEPLATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9071,C1776
A7287,INSERT TIBIAL NATURAL KNEE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6465,C1776
A7288,FEMORAL COMPONENT NAT-KNEE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,19106,C1776
A7289,PATELLA NEXGEN PROLONG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4131,C1776
A7290,CEMENT BONE PALACOS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,332,C1713
A7291,CEMENT BONE PALACOS W/GENT AMICIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,832,C1713
A7292,DART CHONDRAL 18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,399,C1776
A7293,VEIN SAPHENOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,19998,C1768
A7294,FEMORAL COMPONENT SZ 14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10845,C1776
A7295,BIORAPTOR CURVED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1143,C1713
A7296,DISTAL POST CENTRALIZED SZ 11MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,429,C1713
A7297,CONNECTORS AMS 700,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1855,C1713
A7298,AMBICORE AMS PROSTHESIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,34231,C1813
A7299,ANCHOR METAL ULTRA 505MM TWINFIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,879,C1713
A7300,PLATE 4.5MM X 120MM ANKLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4188,C1713
A7301,ALLOPATCH HD THICK 5CM x 5CM(CHG QTY 25),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,636,242.8,Q4128
A7302,ALLOPATCH HD THIN 5CM X 5CM (CHG QTY 25),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,636,242.8,Q4128
A7303,GRAFT ALLODERM REGENERATIVE TISSUE MATRI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2039,Q4116
A7304,SCREW CANNULATED 7.0X95MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1095,C1713
A7305,STEM ECPLOR 8X28MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7732,C1713
A7306,HEAD EXPLOR 10X22MM IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6524,C1713
A7307,SCREW EXPLOR LOCKING IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,693,C1713
A7308,GRAFT ARTHROFELX 3.5CM X 3.5CM X 1.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7342,Q4125
A7309,PLATE 7 HOLE COMPRESSION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,954,C1713
A7311,PARIETEX PRO GRIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1270,C1781
A7312,PLATE OLECRANON 5-HOLE LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3201,C1713
A7313,SCREW HEXALOBE NON-LOCKING 3.5 X 16-30MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,244,C1713
A7314,SCREW HEXALOBE LOCKING 2.7MM X 0312-0331,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,396,C1713
A7315,ANCHOR MINI QUICK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1412,C1713
A7316,TRANS-OBTURATOR URETH SUPPORT SYS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3568,C1771
A7317,SCREW PARTIAL TREADED CANN 16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1191,C1713
A7318,BIFURCATED STRTCH VASC GRFT 20-10MMX40CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3726,C1768
A7319,BIFURCATED STRTCH VASC GRFT 20-10MMX50CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4656,C1768
A7320,BIFURCATED STRTCH VASC GRFT 18-9MMX50CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4656,C1768
A7321,BIFURCATED STRTCH VASC GRFT 16-8MMX50CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4656,C1768
A7322,BIFURCATED STRTCH VASC GRFT 24-12MMX40CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3726,C1768
A7323,BIFURCATED STRTCH VASC GRFT 22-11MMX40CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3726,C1768
A7324,BIFURCATED STRTCH VASC GRFT 18MMX40CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3726,C1768
A7325,PROPATEN VASC GRAFT REMOVABLE RING THIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9454,C1768
A7326,STEM 9.0MM X 0.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5501,C1776
A7327,MM-HEAD LEFT 26.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9032,C1776
A7328,MM-PLATE 4 HOLE 3.5MM LK RECON 46MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1785,C1713
A7329,PLATE OLECRANAN 4 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3732,C1713
A7330,"SCREW BONE 3.5X22,3.5X26",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,296,C1713
A7331,SCREW LOCKING 3.5X14/16/20/22,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,579,C1713
A7332,SCREW LOCKING 3.5X65,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,659,C1713
A7333,TISSUE EXPANDER W/OUT TAB       13MV-14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3927,Q4100
A7334,SCREW CANNULATED 6.5MMX80MM/85MM/90MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1155,C1713
A7335,TIGHTROPE RT W/8.0MM FLIP CUTTER 2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2227,C1713
A7336,LEAD BIPOLAR ENDOCARDIAL PACING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1155,
A7337,LEAD PACEMAKER MODEL TILDA R45/R53,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,1650,C1898
A7338,PACEMAKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,13200,C1785
A7339,SCREW CANNULATED 70X16MM THREADED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1188,C1713
A7340,GRAFT ACHILLES TENDON CALCANEOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5445,C9354
A7341,FEMORAL COMPONENT POROUS SZ5R,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,13312,C1776
A7342,TIBIAL INSERT DISHED SZ 3-4 15MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8068,C1776
A7343,MGT MOVEMENT METATARSAL SZ. 40,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10972,C1776
A7344,MGT MOVEMENT PROX.PHALANX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9233,C1776
A7345,TREL-XC PASTE 1CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1089,C9359
A7346,LEAD KIT VECTRIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7078,C1779
A7347,RESTORE PRIME PULSE GENERATOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,49863,C1822
A7348,SWIVELOCK TENODESIS BIO-COMPOSITE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2053,C1713
A7349,PLATE 6 HOLE TUBULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,229,C1713
A7350,GRAFT ARTHROFLEX DECELLULARIZED 40X70MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7837,Q4125
A7351,TIBIAL INSERT SZ 7-8X11MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8712,C1713
A7352,SCREW CANNULATED 16THD SZ 7.0X85MM/90MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,315,C1713
A7353,NAIL FEMORAL TRACH RT 9X380MM/13.5X400MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11256,C1713
A7354,SCREW CORTICAL DOUBLE LEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,832,C1713
A7355,NAIL TNTERTAN 10S 10MM X 36CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10791,C1713
A7356,AMS AMBICOR PENILE IMPLANT 20CM X 14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,34231,
A7357,BONE CEMENT VERSABOND 40 GRAM F2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,465,
A7358,PATELLA GENII RESURF 41MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5296,C1776
A7359,PATELLA REAMER GENII RESURF 51MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2026,C1776
A7360,PLATE 18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6171,C1713
A7361,"LEAD, PACEMAKER V VIGILA R60/16",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,9425,C1895
A7362,AICD PULSE GENERATOR PARADY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,50820,C1721
A7363,PATELLA GNS RESURF 35MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3118,C1713
A7364,FEMORAL COMPONET NAT-KNEE SZ 3-LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,22992,C1776
A7365,TIBIAL INSERT LGN PS HIGH FLEX SZ 3-4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6977,C1776
A7366,ICD-DR EVERE S DDBC3D1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,64987,C1721
A7367,TIBIAL INSERT HIGH FLEX XLPE SZ3-7 9MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6013,C1776
A7368,ICD CRT - D DTBB1D1 VIVA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,73762,C1721
A7369,MODULAR HEAD 28MM DIA X 6MMNK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3316,C1713
A7370,CUP ACCWTABULAR 28X53MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5445,C1713
A7371,FEMORAL COMPONENT (STEM),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8844,C1776
A7372,FEMORAL COMPONENT HD 36MM-3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7092,C1776
A7373,LINER ACETABULAR 35MM X 54MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5465,C1713
A7374,MM-STEM ANTHOLOGY SO POR SZ 8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16755,C1776
A7375,SCREW CANNULATED 30MMX4.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,939,C1713
A7376,SCREW CORTEX 3.5MMX14MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,88,C1713
A7377,HELICOIL 5.5MM SUTURE ANCHR W/ ULTRA BRD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1254,C1713
A7378,ICD-DR DDBB1D1 EVERA XT US,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,67627,C1721
A7379,SCREW LOW PROFILE HEXALOBE 4.3MMX24MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,436,C1713
A7380,NAIL POLARUS PROXIMAL LOCKING 150MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6016,C1713
A7381,DENVER SHUNT DOUBLE VALVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6280,
A7382,FEMORAL HEAD OXINIUM SZ28MM-3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7092,C1776
A7384,ICD LUMAX 740 VR-T DX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,73128,C1721
A7385,HEALICOIL PK 5.5 SUTURE ANCHOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1122,C1713
A7386,OSTEORAPTOR 2.9 UB WHITE/BLACK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,990,C1713
A7387,PACEMAKER MRI COMPATIBLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,21559,C1785
A7388,GRAFT COLLAGEN VASCULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4485,C1768
A7399,BIOSURE HA 9MM X 30MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,660,C1713
A7400,ENDOBUTTON 15MM CLEAR ULTRA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1023,C1713
A7401,VASCULAR GRAFT 6MM X 10CM PROPATEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1096,
A7402,CABLE/SLEEVE COCR 2.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1987,C1776
A7403,STEM GII LNG 10MM X 100MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5507,C1713
A7404,SCREW CANNULATED SELFTAPPING 5X32,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,820,C1713
A7405,NAIL HUMERAL 8/7MM X 24CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7069,C1713
A7406,SCREW CORTICAL SELF TAPPING 4.0X024,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,674,C1713
A7407,ICD EVERA XT DR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,73623,C1721
A7408,SCREW BOLD DIAM 3MM LG 20MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1091,C1713
A7409,PLATE CERVICAL 32MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6745,C1713
A7410,PLATE 3.5MM X 71MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2527,C1713
A7411,SCREW OSTEOPENIA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,269,C1713
A7412, PLATE 4HOLE 3.5MM X 71MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2519,C1713
A7413,NEUFLEX FINGER-PIP IMPLANT SZ 5 CMNTLESS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4864,
A7414,SCREW LOCKING PERI-LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,533,C1713
A7415,HUMERAL STEM STD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,17972,C1776
A7416,HUMERAL HEAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9141,C1776
A7417,PLATE OLECRANON STANDARD 3-HOLE RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3201,C1713
A7418,PLATE 4 HOLE 4.5MM LCK COMP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1405,C1713
A7419,SCREW CORTEX PERI-LOC 4.5MM X 18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,96,C1713
A7420,SCREW LOCKING PERI-LOC 4.5MM X 20MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,585,C1713
A7421,SCREW CORTEX SELFTAPPING 1.3X11MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,337,C1713
A7422,PLATE 1.3MM TI EXTENDED LEFT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1043,C1713
A7423,MEASTRO RADIAL BODY W/ BRG 7 X 15 7.5LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8151,C1776
A7424,SCREW FIXED LOCK N4.75X15MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,660,C1713
A7425,PLATE MAESTRO CARPAL 9X37,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6362,C1713
A7426,STEM MAESTRO RADIAL 7.5X40MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6343,C1713
A7427,TIBIAL TRAY SZ 1&2 RT/SZ 172 LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7367,C1776
A7428,SCREW CORTEX 2.5MM X 16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,88,C1713
A7429,SCREW COMPRESSION 1 INCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,238,C1713
A7430,DEMINERALIZED BONE MATRIX 10CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,10016,C9359
A7431,BIOSURE SYNC 9-10 IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,739,C1713
A7432,SCREW BONE 2.7X16,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,335,C1713
A7433,ACETABULAR LINERSZ 28MM X 46MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5462,
A7434,ACETABULAR SHELL 3 HOLE MM46,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7035,
A7435,VASCULAR GRAFT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,729,
A7436,SCREW COMPRESSION 34MM STD ACUTRACK 2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1478,C1713
A7437,PLATE 6 HOLE 3.5MM X 98MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6356,C1713
A7438,NATRELLE STYLE 45 GEL ROUND,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3059,
A7439,STEM LGN PRESSFIT 15MM X 120MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5754,
A7440,COUPLER LGN OFFSET 2MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5903,
